Název,Sklo,Typ ,Složení ,Poznámky (tříslovný popis drinku),Sklo,Postup,Chuť,Garbage
,,,,,,,,
Wild Kentucky apricot ,smooth roks,Old fashion ,"40ml wild turkey 101, 20ml bitter truth apricot, 10ml něco jako citron , 2dsh peach bitters . Couple drops of thyme oil , salt & pepper and thyme sprig. ","Strong , smooth , savoury ",Smooth rocks ,"Stire down in mixing glass, pour over ice block with dimple in the top ( C) drop few thyme oil drops into the dimple- crack salt and pepper on the top and place the small thyme sprig over ","Sladkokyselý , strong and savoury ",Tymiánovy olej . Sůl a pepř 
SummerKick `26,Plochý highball,Long,"3cl Becherovka, 2cl Campari, 0.5cl limeta, dolít kombuchou","Dlouhý, sladko-kyselý, energický",Plochý long,Build,Sladkokyselá,"Snítka máty, sušené ovoce"
Martini me please ,Nebroušená WHG,Oldfashion styl,"3cl San Cosme Mezcal, 3cl Apricot vermouth (Cinzano 1757, Noilly Prat dry)","Střední, ovocný, kouřový",Plochá WHG,stir,,Opálená meruňka
Take it SloeRR,Broušený long ,Long drink,"3cl Ginbery's sloe gin, 6cl rebarbora roiboos cordial, top prosecco Espuma (cca 100ml?)","Dlouhý, ovocný, mrazivý",Broušený long,"Shake, bez strainu, top Espuma, brčko",Ovocná ,Zerowaste prach
CCTV²,Nick Nora,Margarita,"4cl Tres Alegres Compadres blanco, 3cl okurkovo koriandrový cordial.","Krátký, sladkokyselý, osvěžující",Nick'n'nora vysoká,"Hard shake, double strain, 3 kapky oleje",Sladkokyselá,Pomerančový olej 
blueberry fizz,Vínovka,,"3cl GinJane Landcraft
4cl borůvkový coridial
Top up Kliment Cidre Extra brut Barik 2018","Dlouhý, sladkokyselý, lehky, letní, slunečný",Vínovka,"Shake,double strain",sladkokyselý,rozmaryn
Handle With Care,hluboká coupette. ( byla použita na royal poke ),Tiki,"2cl Don Papa Alon, 2cl Rebellion spiced rum, 1cl Cargo Cult Banana spiced rum, 2cl Kokosový Orgeat, 2cl Lime Fresh, 3cl Brusinkový mošt,","Dlouhý, Polosladký, křehký",hluboká coupette. ( byla použita na royal poke ),"shake, double strain, kokosový vzduch ( bublinky )",polosladký,kokosový vzduch
Moongroni,broušená whiskovka,,"3cl Cobraz Krajiny Landcraft
4cl Cinzano Rosso 1757 vermuth
2cl Campari,
Měsíček lékařský infuze, zástřik měsíčkovým parfíémem","Krátký, hořkosladký, měsíční",broušená whiskovka,stir na kostku,hořkosladký,parfém z měsíčku
Say Hi To BioOko,Vínová,Highball,"3cl Seven Vodka, 0,5cl Amaretto Disaronno, 5cl oolong cordial, 10cl grepová sofa","Dlouhý, sladkokyselý, čajový",Vinovka ,Build do skla,"Sladkokyselá, čajová, ovocná, lehce nahořklá",Grepová peel
Feeling blue - ish ,Nick Nora,stir martiny style with top,"30ml haymans gin, 10ml frangelico, 10ml motyli syrup, top proseccco espuma .","kratky, sladkokysely , prekvapivy ,",Nick Nora,stire down in shaker - strain into the glass and top with espuma . garnish with 3 little cucumber balls on the skewer .,"Silný, sladký",Okurkové kuličky na napichovátku 
