utopia,Název,Sklo,Postup,Složení,Garnýž,Poznámka autora,Trvanlivost,,,
,Negroni vyzrálé,Broušená whiskovka,"8cl Stir, kvádr ledu","Gin Jane, Campari, Jeptišky, Šípek, Circular orange",Pomeranč peel,,,,,
,Zlaté Prasátko,hladká whiskovka,"Shake, double strain","3cl Tosh gin, 2,5cl Kofola cordial,       1,5cl citón, 2cl Vegg white ( vždy protřepat lahev vegg white!!) ",Pomerančový penízek z peelu- vykrajovátka zařídím,,,,,
,Nedělní Sámoška,hladká whiskovka,"Build do skla na led, nanést espumu","2cl Gloria Pure Original, 2cl Cryo vodka, pěna z Pikaaa",pěna z Pikaaa,utop,,,,
,Diskitto Biscuitto,Pivní custom whg (minulé menu Oaky doaky),"Shake, double strain",4cl Old Overholt Rye whisky                      1cl Amaro Montenegro                           2cl Sušenko mléčně máslový sirup             Choco bitters 1 dash,Sušenkovo čokoládový crumble,,,,,
,Arizonka Reverie,Nick&Nora,"Shake, double strain",4cl Duppy White                                     1cl Luxardo marashino                               2cl Arizonkovo vanilkový sirup                                   1.5cl Limetová šťáva                                     Grepové bitters 1 dash,Rim z arizonek,,,,,
,Tang,Vínovka,Shake & Double Strain                        ,"3cl Hapusa gin
4cl mandarinkovy cordial s kardamonem a citronovou trávou, 2cl citron fresh
10cl Prosecco Riondo",Pomerančový prach,,,,,
,Currant Libre ,Broušený Long,Build,"4cl Don Papa Alon, 1,5cl Gloria single origin, 2,5 sirup z coly a černého rybízu, 1dash Fee Brothers cherry bitters, 1cl čerstvá limetková šťáva, top 10cl soda","Třešnička, paraplíčko",,,,,
,Cobrovka,Čtyřhranná whiskovka,Shake & Double Strain,"2cl Skinos Mastiha, 1cl Garage 22 Aquavit, 1cl koprový sirup, 1cl neco jako limeta 1dash celer bitters ",Nakládaná shimeji houbička ,,,,,
,Vodka ne s džusem ,Úzký long,Build,"4cl Cryo vodka, 15cl klarifikovaná kořeněná pomerančová šťáva.",Pomerančový pin,,,,,
,Víkend u Babičky,Zavařovačka,Shake,"3cl calvados ,1cl super pommeau,1cl frangelico, 6.5cl štrůdl prep. 1dash black walnut bitters , top soda 10cl",Rumové hrozinky ,,,,,
,Mákgarita,Nick & Nora vysoká,shake,"4cl Tres alegres compadres blanco ,1cl verveine du velay ( Yellow)  2cl fresh citron, 1,5cl poppy orgeat , 1dash orage bitters , citron zaostřik ",Mák ,,,,,
,Ne vodka ne s džusem N/A,Úzký long ,"Build, lehce promíchat ","2cl Roots Divino Bianco, 15cl kořeněné pomerančové šťávy",Pomerančový pin,,,,,
,Cobrovka N/A,Čtyřhranná whiskovka,"Shale, double strain","1cl sirup z hojníku horského, 1cl koprovy sirup 1cl neco jako limeta, 1 dash Fee Brothetrs celery bitters",Nakládaná shimeji houbička ,,,,,
,Mákgarita N/A,Nick & Nora,"Shake, double strain","4cl Almave , 1cl Opius rubedo , 1.5cl poppy orgeat ,2cl citron fresh , 1 dash orange bitters ",Mák ,,,,,
,Tang N/A,Vínovka,"Shake, double strain","3cl Jenny in the bottle, 4cl mandarinkovy cordial s citronovou trávou a kardamonem, 2cl citron fresh, Kolonne/Null Cuvée Blanc",Pomerančový prach,,,,,
,Střízlivé Zlaté Prasátko,hladká whiskovka,"Shake, double strain, ","3cl Tanqueray 0.0, 2,5cl Kofola cordial, 1,5cl citón, 2cl Vegg white ( vždy protřepat lahev vegg white!!) ",Pomerančový penízek z peelu- vykrajovátka zařídím,,,,,
,,,,,,,,,,
,Cobrazgroni,Broušená whiskovka,Stir in Mixing Glass na Kvádr,3cl Cobraz Krajiny Gin (americano prep 6cl)  3cl Campari  3cl Cinzano Rosso 1757,Pomerančová Kůra,,,,,
