,,,,,,
,Název,Složení,Postup,Sklo,Garnýž,Autor
,CCTV,"5cl Cabrito blanco, 2cl lime, 1cl simple, okurka a koriandr","vše do shakeru, hard shake",pokal (absintová),"plátek okurky, snítka koriandru",
,Cobra Libre,"4cl J.M Blanc, 2cl cola sirup, soda",rovnou do skla na ledě,long,citron,
,Cobra Mate Lemonade,"8cl Maté, 4cl Grep Fresh, 2cl Citron, 1cl Simple Sirup, soda na dolití","Vše nadávkovat do skla, zamíchat dolít sodou",Longovka,Kolečko Grepu,
,Haru Spritz,"1dl spumante, 1dl soda, 3cl shiso ocet",rovnou do skla,vinná sklenice,jahoda,Tere
,Hide in the Bush,,,,,Štěpán
,House of Tarragon,,,,,Jenda
,Red Wizzard,"1cl Becherovka, 1dcl brusinkový mošt, 1,5cl st. Antoine, soda","Becherovku na dno, zalít moštem, float absinthu a nahoře zastříknout sodou, snažit se aby zůstaly oddělené vrstvy",pokal (absintová),tymián a bambusové míchátko,
,Summer Kick,"Safron gin 3cl, Campari 2cl, Yerba 4cl, Rakytník mošt 3cl, Citron 2cl, Cukr 1cl","Vše do šejkru, double strain",Broušená Whiskey Glass,Snítka Rozmarýnu,Patrik
,Sunset Negroni,,,,,Jenda
,BLUEBERRY FIZZ,Collins,"gin, citron a sirup - shake - do lahvicky - topovat sodou","6cl tanqueray gin, 2 cl citron, 1,5 boruvka sirup simple, soda na dolití",lemon zest,
,Last Holiday in...quarantine?,Collins,"shake na led, top ginger ale","Planatation Ananas 25 ml, pussers blue 25 ml, 25 ml Pomeranč tymián cordial, 10 ml lime, 10 ml simple sirup, dolít Ginger Ale",tymián,
,Memories of Last Vaccination,Broušená whiskovka ,all shake s ledem přímo do skla,"30 ml Clément Canne Bleue, 1 kumquat na kousky, 1/2 limety na kousky, 30 ml rebarbora mošt, 10 ml ovocný čaj sirup",pul kumquatu,
,Locket Love,Coupette,"vse dohromady, vymichat v michaci sklenici","6cl Gin22, 1cl ovocný čaj sirup, 3 cl rebarborový mošt, 2d rebarbora bitters",květiny,
,Centurion Cilantro,"4cl Tequila Cabrito Reposado infuzovaná římským kmínem, 2cl Limeta, 1cl Koriandr sugar syrup, dolít Grepovou Sodou","přímo do skla na led, promíchat + dolít grepovou sodou, lehce dopromíchat",Broušený Collins,"grepová kůra, koriandr",
,Bittersweet symphony,Sour (Pokal),"Dry shake, hard shake do sklenice na led (1ks), aby byla sklenice zarovnaná téměř po okraj, zástřik citr. kůrou","4 cl Campari, 5 cl pomeranč fresh, 1,5 cl lime, 1 cl simple sirup, 2cl egg white",,
,FRUITY NEGRONI,"0,3l OKO kelímek/ Whiskovka","vse dohromady, vymichat v michaci sklenici","30 ml campari, 15 ml tanqueray sevilla, 15 ml Boodles, 15ml Tatuv vermouth, 15ml SuperPommeau","platky suseneho ovoce grep, pomík",premix ve vaně
,SUPER CAMPARI,"0,3l OKO kelímek/ wine glass","slejvačka, poté promíchat","40 ml campari, 20 ml superpommeau, soda",jablečná křížala,
,OBRAZ KRAJINY,"0,3l OKO kelímek bez ledu/ 02 FT lahvička/ coupette","vše do sklenice, vymíchat","60 ml višen z dubu, 30 ml Tátův vermouth, 3d lndcrft bitters",sušený pomeranč,
,RED GARAGE,Broušený collins,roll it baby,"40ml Mědvědí gin, 150ml rajče juice, 20ml citron fresh, 15ml bloody prep","olivy, rapik, atp.",
,LOOSERS SPRITZ,wine glass,"vše až na spumante do shakeru, double strain na led a spumante","40 ml granat most, 40 ml hrozno most, 15 ml limeta, 15 ml simple, 1dcl spumante",citron zest,
,TAKE IT SLOE,wine glass,vše do sklenice,"3cl Hayman's sloe gin, 6cl rebarbora džus, 1dl spumante",lemon zest,
,SUMMER KICK,broušená whisky,"Vše do šejkru, double strain","Safron gin 3cl, Campari 2cl, Yerba 4cl, Rakytník mošt 3cl, Citron 2cl, Cukr 1cl",Snítka Rozmarýnu,premix ve vane
,Tales Of La Manche,broušená whisky,"vymíchat, zástřik proseccem","30 ml Lillet, 30 ml TQ Tres Alegres, 30ml Campari (90 ml premix)",brosková křížala,
,Happy Three Friendzoni,broušená whisky,vymichat,"20 ml Rebel Mixtura Vermut, 20 ml Tres Allegres Compadres, 20 ml Campari (60ml PREMIXU)","koriandr, pomeranč zest",
,Negroni no. 22,Whisky Glass,vymichat,"20 ml Gin22 smokyhabanero, 30 ml Cinzano 1757, 20 m Campari (70ml PREMIXU)",půlka kumquatu,
,,,,,,
,Landroni,whisky glass,vymichat,"20 ml Apple no.1 Brandy, 30 ml pomík fresh, 20ml campari (40ml PREMIXU)",grep zest,
,Název,Složení,Postup,Sklo,Garnish,Poznámka autora
,C for Paloma,"4cl Tequila Cabrito Reposado infuzovaná římským kmínem, 2cl Limeta, 1cl Koriandr sugar syrup, dolít Grepovou Sodou","přímo do skla na led, promíchat + dolít grepovou sodou, lehce dopromíchat",Broušený Collins,"grepová kůra, koriandr",
,Frangelico Express,"5cl PREMIX (3cl Frangelico inf. banán+kurkuma, 2cl Amaretto Disaronno), 2cl citron, 2cl bílek","Dry shake, hard shake do sklenice na led (3ks), aby byla sklenice zarovnaná téměř po okraj, zástřik citr. kůrou",Sour (Pokal),prach z bánánů a kurkumy,
,Last Winter Memories,"4cl Tanqueray inf. brusinkama+ rozmarýnem, 1,5cl limeta, 1,5cl simple + 1dl spumante","shake vše kromě prosecca, na led + zástřik prosecca",Wine Glass,rozmarýn,
,Rage Against The Stream!,"4cl Singleton12y, 4cl pyré z lesního ovoce, top-up Ginger Ale","přímo do skla na led, nejdřív rozmíchat pyré a whiskey, pak dolít Ginger Alem a už jen lehce promíchat",Singleton whisky glass,plátek pomeranče,
,Ron The Peachcomber,"6cl Malecon 8y, 5cl broskvový mošt, 2cl kešu orgeat, 2cl limeta, 1cl meruňka Vladimír sirup","shake, na led ","Tiki Mug (když nebude, broušenej long)","máta, citron, červený pepř",
,Roy Pearson,"6cl whisky Singleton 12y infusovaná hruškami, 3 cl vermut Cinzano rosso 1757, dash Rhubarb bitters + Black Walnut bitters","Stir, do sklenice bez ledu",Coupette,hruškové křížaly,
,"Single, Anytime?","3cl Singleton12y, 3cl Assam čaj, 3cl granátové jablko šťáva, 1cl cointreau","shake, na led ",Singleton whisky glass,pomerančová kůra,
,Sevilla ´75,"3cl Tanqueray Flor de Sevilla, 2cl rozmarýnovo-medová voda, 1cl limeta + 1dl spumante","shake vše kromě prosecca, na led + zástřik prosecca",wine glass,pomerančová kůra,
,Strawberry Libre Forever,"4cl Malteco seco puro inf. jahodama, 2cl Bigallet cola sirup, 3cl batch brew, 2cl limeta, dolít sodou","shake, dolít sodou",Broušený Collins,limeta,
,Trees of Greece,"3cl Nautica inf. hojníkem, 3cl mandarinka shrub, 2cl limeta, soda top-up, FLOAT 1cl Skinos Mastiha","shake, na led + zástřik sodou",Broušená whisky,sušená mandarinková kůra,
,Wannabe Gin&Tonic (N/A),"2,5cl Borrago, 1,5dl tonic",přímo do skla na led,GT goblet,"plátek pomeranče, lístek bazalky",
,Sober Samurai,"3cl Samurai Shot, 1cl Vladimir Merunka, 1cl medová voda, 1dcl jablečný mošt","shake, strain do longovky na led",Longovka,plátek pomeranče,
,Sober Society,"2cl Bitter syrup, 1cl Meruňkový sirup, 8cl Grepový mošt, 1,5cl citron, soda na dolití","Vše kromě sody do šejkru, na led, dolít sodou",Longovka,2 plátky grepu,
