,Název,Sklo,Postup,Složení,Garnýž,Poznámka autora,Trvanlivost,Kategorie,,
,Negroni vyzrálé,Broušená whiskovka,"8cl NEGRONI VYZRÁLÉ, Stir, kvádr ledu","Gin Jane, Campari, Jeptišky, Šípek, Circular orange",Pomeranč peel,,,Negroni,,
,Wild Kentucky apricot ,hladká whiskovka,"Stire down in mixing glass, pour over ice block with dimple in the top ( C) drop few thyme oil drops into the dimple- crack salt and pepper on the top and place the small thyme sprig over ","4cl wild turkey 101, 2cl bitter truth apricot, 1cl něco jako citron , 2dsh peach bitters, Couple drops of thyme oil, salt & pepper and thyme sprig. ",Tymiánovy olej . Sůl a pepř raznice C na kvádr ledu,,,,,
,SummerKick `26,hladký long,build,"3cl Becherovka, 2cl Campari, 0.5cl limeta, dolít kombuchou","Snítka máty, sušené ovoce",,,,,
,Martini me please ,hladká whiskovka,stir ,"3cl San Cosme Mezcal, 3cl Apricot vermouth (infuze Cinzano 1757, Noilly Prat dry)",Opálená meruňka,,,,,
,Take it SloeER,broušený long,"Shake, bez strainu, jako caipirinha, top Espuma, brčko","3cl Ginbery's sloe gin, 6cl rebarbora roiboos cordial, top prosecco Espuma (cca 100ml?)",Zerowaste prach,,,,,
,CCTV²,Nick Nora,"shake, double strain","4cl Tres Alegres Compadres blanco, 4cl okurkovo koriandrový cordial.",Pomerančový olej ,,,,,
,blueberry fizz,vínovka,"shake, double strain","3cl GinJane Landcraft
4cl borůvkový coridial
Top up Kliment Cidre Extra brut Barik 2018",rozmaryn,,,,,
,Handle With Care,hluboká coupette. ,"shake, double strain na 4kostky ledu, top kokosový vzduch","2cl Don Papa Alon, 2cl Rebellion spiced rum, 1cl Cargo Cult Banana spiced rum, 1cl Kokosový Orgeat, 2cl Lime Fresh, 3cl Brusinkový mošt,",kokosový vzduch,"Roztok na kokosový vzduch najdeš v šuplíku nebo v generál mrazáku.
Recept na kokosový vzduch. ( 15cl tekutiny) na= 13cl kokos ogreat, 2cl neco jako limeta, 0,5cl salsol na (2g lecitinu)",,,,
,Moongroni,Broušená whiskovka,stir na kvádr ledu,"3cl Cobraz Krajiny Landcraft
4cl Cinzano Rosso 1757 vermuth
2cl Campari,
Měsíček lékařský infuze, zástřik měsíčkovým parfíémem",zástřik měsíčkovým parfíémem,,,,,
,Say Hi To BioOko,vínovka,build,"3cl Seven Vodka, 0,5cl Amaretto Disaronno, 5cl oolong cordial, 10cl grepová sofa",Grepový peel,,,,,
,Feeling blue - ish ,Nick Nora,stir martini style with top,"3cl haymans gin, 1cl frangelico, 1cl motyli syrup, top proseccco espuma .",Okurkové kuličky na napichovátku ,,,,,
,Take it SloeRR N/A,broušený long,"Shake, bez strainu, jako caipirinha, top Espuma, brčko","3cl (Švestkový sirup), 6cl rebarbora roiboos cordial, top Kolonne/Null Cuvée Blanc Espuma  cca 80ml",Zerowaste prach,,,nealko,,
,Blueberry Fizz N/A,vínovka,"shake, double strain","3cl Jenny in the bottle, 3cl borůvkový cordial,Kolonne/Null Cuvée Blanc",rozmaryn,,,nealko,,
